,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,26.8075830936,"sin, s, love, christ, don, know, god, want, t, get, ill, ask, i, heaven, jesus",0.0321950870689,0.0278108095551,0.8,0.2,0.622489347049,0.67082778133,0.743715592942,Shepherd,4,4.3,4.16533154825
5,Shepherd_test9,10,23.8113689423,"s, grace, sin, know, christ, encourag, god, get, want, thing, judg, pay, gift, don, forgiv",0.0339905847398,0.0205407702469,0.9,0.1,0.626891596804,0.641947259397,0.571070175292,Shepherd,4,4.3,3.90140284727
6,Shepherd_test0,10,25.377835989,"s, christ, get, love, don, know, want, god, t, ask, ill, said, rememb, i, prais",0.0351524983587,0.0230968489212,0.9,0.1,0.637709223369,0.679995680031,0.694171032069,Shepherd,4,4.44444444444,4.24650686294
9,Shepherd_test10,10,25.7973411083,"christ, s, want, get, ill, don, ask, preach, sin, god, said, sure, thing, know, preacher",0.0302744346256,0.0220386376483,0.8,0.2,0.5994655288,0.671758548622,0.597068771636,Shepherd,4,4.0,4.12971304381
15,Shepherd_test20,10,23.3237879276,"s, pray, get, ask, christ, don, god, prayer, rememb, want, know, t, thing, thank, bless",0.0334721762145,0.0189784061291,0.9,0.1,0.619892931132,0.635355927291,0.581872233871,Shepherd,4,4.0,3.82928060796
16,Shepherd_test6,10,26.2555789948,"s, sin, don, get, said, t, listen, christ, god, ask, ill, know, want, i, let",0.0326975068177,0.0278305698241,0.7,0.3,0.623481487508,0.678110336202,0.681989063055,Shepherd,4,3.4,3.94114433423
22,Shepherd_test16,10,26.5966470242,"s, christ, rememb, get, don, ill, thing, know, god, thank, love, t, ask, said, i",0.0351265584923,0.0265973872122,0.8,0.2,0.590006376258,0.647686025357,0.647396992522,Shepherd,4,3.7,4.03701606905
24,Shepherd_test19,10,25.6326739788,"s, god, don, ill, rememb, christ, want, devil, lord, get, satan, t, said, love, thing",0.0310859388767,0.0204071055426,0.8,0.2,0.633264155249,0.614274693892,0.575413744252,Shepherd,4,4.015,3.79941614832
31,Shepherd_test14,10,25.5752079487,"get, s, don, said, ill, christ, god, ask, sin, let, want, bad, t, do, pray",0.034202497218,0.0243316566707,0.8,0.2,0.602348942351,0.678658869133,0.588368065223,Shepherd,4,4.0,3.96816692179
32,Shepherd_test4,10,24.3888950348,"s, don, pray, get, t, ask, want, said, let, whi, prayer, god, lord, bless, jesus",0.0320082384782,0.0234833711545,0.8,0.2,0.618661436668,0.705889745485,0.534104782209,Shepherd,4,3.67142857143,4.25526781114
33,Shepherd_test8,10,23.4674649239,"s, christ, don, get, want, ask, know, t, ill, god, someon, disagr, fear, said, i",0.0278365205562,0.0222203488271,0.6,0.4,0.602507594477,0.654578812634,0.648633413434,Shepherd,4,3.7,4.09005490311
35,Shepherd_test3,10,24.4301359653,"s, christ, get, don, god, love, preach, wisdom, know, someth, t, ill, jesus, want, said",0.0324551585822,0.0241584056498,0.8,0.2,0.575194251497,0.662219054508,0.692578642798,Shepherd,4,4.0,4.1917104322
38,Shepherd_test13,10,23.0153839588,"s, thank, prais, god, ask, get, don, lord, let, christ, ill, want, know, t, said",0.033473216336,0.0230323182816,0.9,0.1,0.611442636934,0.651718945343,0.681898542332,Shepherd,4,4.0,4.20989230224
45,Shepherd_test21,10,24.7158370018,"s, want, christ, get, walk, don, know, ask, god, ill, t, worship, said, spirit, preach",0.0314342846236,0.0193840781229,0.9,0.1,0.603192562344,0.674247362888,0.589377080218,Shepherd,4,4.0,4.1798886837
46,Shepherd_test1,10,26.7701530457,"s, christ, trust, sin, don, want, ask, get, ill, say, said, someon, whi, preacher, god",0.0320679196027,0.0253955876697,0.5,0.5,0.612502956426,0.66460917106,0.621638525426,Shepherd,4,4.0,3.88474842193
49,Shepherd_test11,10,27.2481861115,"s, don, get, want, t, christ, rememb, ill, god, know, christma, i, preach, ask, thing",0.0306167731749,0.0223202283144,0.8,0.2,0.586605131943,0.641348753081,0.610764872362,Shepherd,4,4.0,4.10166331779
50,Shepherd_test2,10,29.5151309967,"s, don, get, preacher, know, ill, t, god, let, fear, ask, pray, bless, tell, christ",0.0283279305713,0.0222028900945,0.7,0.3,0.582242836351,0.698683955235,0.789178644567,Shepherd,4,3.0,2.70760918714
56,Shepherd_test18,10,25.6683869362,"s, get, don, said, job, ill, ask, pray, t, want, preacher, prayer, re, god, rememb",0.0382508381104,0.0176236235724,0.9,0.1,0.543291710124,0.64110815948,0.648929280713,Shepherd,4,3.8,3.88321142147
59,Shepherd_test7,10,25.0312700272,"s, don, want, christ, get, t, faith, sin, know, god, preacher, said, ill, whi, i",0.0360971334293,0.0204934616552,0.8,0.2,0.621108866477,0.645122886376,0.580160636457,Shepherd,4,4.3,3.76927359932
64,Shepherd_test17,10,23.9123251438,"s, want, pray, get, god, don, hope, christ, prayer, ask, know, sin, said, whi, lord",0.0345245378466,0.0205976897677,0.9,0.1,0.649946617944,0.731859016878,0.702770962538,Shepherd,4,4.32879310345,4.37808888018
71,Shepherd_test12,10,24.2142648697,"s, thank, don, get, ask, t, love, said, ill, christ, prayer, want, dad, god, bless",0.0369973716605,0.0195969485762,0.9,0.1,0.580985578283,0.68456095715,0.67092505434,Shepherd,4,4.0,3.98561081264
72,Shepherd_test5,10,23.6864850521,"s, get, don, want, christ, ill, t, said, sin, thing, ask, know, god, i, better",0.032795188679,0.0201771695721,0.9,0.1,0.594406519475,0.668080842605,0.582459237833,Shepherd,4,4.0,4.07570514827
73,DorothyDay_test8,10,15.9393818378,"room, helen, get, silenc, worker, go, bed, pay, too, bless, girl, mike, pray, garden, am",0.0274337807436,0.0169781961276,0.8,0.2,0.647689494314,0.749835861684,0.698424048918,DorothyDay,4,5.315,3.62771319077
75,DorothyDay_test13,10,26.9287469387,"prison, too, get, worker, go, say, girl, love, tri, i, want, talk, am, told, thing",0.0257659728762,0.0224685380865,0.6,0.4,0.760191493789,0.793569998416,0.694056879643,DorothyDay,4,4.00607142857,4.66440269109
76,DorothyDay_test3,10,18.4388070107,"worker, get, go, farm, trip, night, room, too, spoke, retreat, told, fr, priest, visit, ask",0.0253799543563,0.0205540495114,0.7,0.3,0.674812947574,0.790007001615,0.714185345894,DorothyDay,4,3.81716182932,3.58100538455
87,DorothyDay_test23,10,18.7450399399,"get, worker, love, talk, too, farm, fr, prison, am, room, christ, pray, tri, tamar, retreat",0.0242085861101,0.0221108056265,0.7,0.3,0.694389386716,0.761256201891,0.73410251455,DorothyDay,4,3.74836872587,3.63125457404
88,DorothyDay_test16,10,16.8474459648,"worker, farm, get, room, too, go, maurin, fr, ammon, car, tri, hospit, ask, will, retreat",0.0239114788898,0.0198763437369,0.6,0.4,0.700935966777,0.770137636672,0.616550274825,DorothyDay,4,4.00336872587,4.42006125282
89,DorothyDay_test6,10,18.933770895,"negro, worker, get, go, labor, fr, talk, too, love, room, unemploy, say, pay, maritain, thing",0.0254233300289,0.0229506805723,0.6,0.4,0.690541501316,0.7554437972,0.638014482531,DorothyDay,4,3.40003539254,4.19774062017
90,DorothyDay_test11,10,23.9423019886,"worker, get, labor, too, night, go, morn, meal, tree, am, street, told, love, farm, room",0.0270595159068,0.0187137221139,0.7,0.3,0.658444547187,0.808549605455,0.781783502392,DorothyDay,4,4.98836872587,3.39827432581
91,DorothyDay_test1,10,11.0178711414,"get, worker, christ, bed, room, farm, shall, go, love, labor, ask, stjoseph, say, night, cathol",0.0285121225244,0.0229938286693,0.7,0.3,0.71268682781,0.696285235681,0.617952634867,DorothyDay,4,4.40273809524,4.16909392311
92,DorothyDay_test18,10,19.1395530701,"worker, get, too, joy, hospit, want, told, priest, prayer, night, i, talk, farm, say, love",0.0234450455141,0.0204735448343,0.7,0.3,0.703240903648,0.767506507791,0.710973830926,DorothyDay,4,3.76336872587,4.06278691445
102,DorothyDay_test21,10,15.2358608246,"worker, too, farm, talk, love, get, maurin, am, street, night, room, say, ask, know, jan",0.0214912588017,0.0204128018915,0.7,0.3,0.65882534245,0.703095601437,0.69877121502,DorothyDay,4,4.01653119869,3.65525950765
103,DorothyDay_test14,10,19.1561169624,"worker, christ, get, room, too, fr, negro, love, done, prison, got, go, say, know, woman",0.0286565923534,0.0230872732298,0.9,0.1,0.718273688325,0.734750162003,0.717037510737,DorothyDay,4,4.19666666667,3.71898072436
104,DorothyDay_test4,10,19.4202339649,"worker, prison, get, tri, strike, love, am, priest, too, i, bishop, room, answer, say, go",0.0244576271511,0.0211547395874,0.7,0.3,0.700416377703,0.706176670875,0.641662359269,DorothyDay,4,3.60273809524,4.22954440216
114,DorothyDay_test12,10,14.5704128742,"worker, get, go, too, room, fr, wish, lot, talk, feel, i, say, priest, am, tell",0.0236015417458,0.0264085820839,0.6,0.4,0.638894010114,0.737729384679,0.739909629776,DorothyDay,4,2.1,2.07225238842
115,DorothyDay_test2,10,14.7928512096,"worker, labor, too, told, get, got, steel, pray, go, prayer, talk, farm, priest, ask, cathol",0.0254619665748,0.0181938862528,0.7,0.3,0.70151794302,0.713854388046,0.686497714598,DorothyDay,4,4.00273809524,3.98671061674
124,DorothyDay_test9,10,22.7335271835,"get, love, too, retreat, sin, worker, go, want, tree, i, farm, felt, morn, fr, babi",0.029056042295,0.0233116969729,0.8,0.2,0.686915790152,0.725126684229,0.644631747256,DorothyDay,4,4.82490421456,4.15319615537
125,DorothyDay_test10,10,15.9202439785,"worker, farm, am, cathol, room, too, fr, poverti, love, i, retreat, maurin, say, tri, ask",0.0249940488084,0.0178102850098,0.8,0.2,0.667353732593,0.741838569262,0.772274952802,DorothyDay,4,2.9972972973,3.12553791419
126,DorothyDay_test0,10,19.9888949394,"get, worker, too, talk, farm, night, cloth, go, care, thank, room, i, peter, job, bed",0.0270194942534,0.0158465395985,0.9,0.1,0.761332727949,0.737073759914,0.64522584375,DorothyDay,4,6.2,6.01686147491
131,DorothyDay_test22,10,22.8952689171,"car, fr, worker, get, too, retreat, farm, roy, priest, love, hospit, go, got, joy, pay",0.0249484050348,0.0184667694087,0.9,0.1,0.711809578045,0.736232199165,0.738481622876,DorothyDay,4,4.34503539254,4.03406147716
132,DorothyDay_test17,10,18.8910598755,"love, ammon, worker, rememb, get, rayna, tri, prayer, retreat, ask, i, go, girl, told, too",0.030970919762,0.0221929501386,0.8,0.2,0.736228094611,0.757712929831,0.724619608712,DorothyDay,4,5.49333333333,3.94476709271
133,DorothyDay_test7,10,15.3876230717,"worker, farm, get, talk, labor, room, go, fr, tri, poverti, too, christ, got, job, detroit",0.0226963444866,0.0184720109292,0.7,0.3,0.668194920348,0.774484592798,0.827800809718,DorothyDay,4,3.48836872587,2.7604938394
136,DorothyDay_test19,10,17.470512867,"worker, say, maurin, get, room, talk, tri, am, too, night, hope, peter, go, destitut, fr",0.0259129064736,0.0224272394368,0.7,0.3,0.698050215958,0.72530622813,0.776233872541,DorothyDay,4,3.58836872587,3.42854400901
142,DorothyDay_test20,10,18.6988677979,"worker, love, priest, poverti, too, labor, christ, go, fr, silenc, say, am, hour, bless, get",0.0315552178439,0.0181062168175,0.9,0.1,0.67936649873,0.764758374378,0.644792138801,DorothyDay,4,4.72879310345,5.39785889462
143,DorothyDay_test15,10,18.8412470818,"worker, get, poverti, too, love, poor, say, room, bread, job, am, go, cloth, tree, priest",0.0307185579587,0.0204198587824,0.9,0.1,0.706536721148,0.772043162853,0.774508780377,DorothyDay,4,5.3,4.10535547274
144,DorothyDay_test5,10,15.9075801373,"worker, get, walk, room, go, farm, wait, talk, tri, dakota, night, fr, acr, sheep, too",0.0248948741769,0.0182675442513,0.8,0.2,0.687926435016,0.73472857176,0.664650529579,DorothyDay,4,4.01382849598,3.86667993188
152,Unitarian_test6,10,37.0116930008,"congreg, nt, s, say, know, get, love, i, let, am, ask, tell, coven, too, dream",0.0289813892573,0.0209622476122,0.8,0.2,0.663283005321,0.68642382817,0.651920289163,Unitarian,7,4.69545977011,4.15073258674
155,Unitarian_test3,10,28.4705221653,"know, silenc, nt, love, hope, say, i, want, s, merci, am, get, too, thing, dont",0.030550026233,0.0230623040191,0.7,0.3,0.662214933604,0.680335680455,0.754043441358,Unitarian,7,4.1,3.95047007052
158,Unitarian_test4,10,41.1136538982,"dream, dont, say, unitarian, want, wonder, am, s, i, know, let, tell, congreg, heal, n",0.0278056284869,0.0171195009144,1.0,0.0,0.637068052913,0.707379602616,0.75999553787,Unitarian,7,5.7,3.80773189289
162,Unitarian_test5,10,31.956843853,"say, feel, nt, courag, know, i, hope, tell, get, ask, s, let, heard, grief, christma",0.0241239416026,0.0330498416469,0.4,0.6,0.659911672706,0.698691726225,0.703568460907,Unitarian,7,3.09666666667,2.35353971588
166,Unitarian_test0,10,32.5681629181,"am, nt, i, cloth, get, know, s, feel, let, forgiv, want, tell, love, realli, gay",0.0298030803596,0.0228535019828,0.7,0.3,0.702574411229,0.680617952754,0.672361099359,Unitarian,7,4.48166666667,4.19089977353
168,Unitarian_test7,10,35.3478758335,"am, let, get, know, i, s, say, ask, fear, dont, silenc, thing, nt, want, realli",0.0269032958124,0.0260873327033,0.7,0.3,0.624837595945,0.680918638415,0.645508789215,Unitarian,7,4.4,4.15955622312
171,Unitarian_test2,10,26.8942849636,"sing, am, i, let, love, s, grief, joy, too, belov, say, feel, get, flower, thing",0.0279157941839,0.018818379936,0.8,0.2,0.677620106442,0.694585194589,0.582494516247,Unitarian,7,4.31653119869,4.27047272767
177,Unitarian_test8,10,33.8126649857,"nt, want, compass, say, am, love, ourselv, s, feel, let, i, get, too, resist, know",0.0301554818092,0.0232030501645,0.8,0.2,0.675448542877,0.750508453357,0.647424348773,Unitarian,7,5.27823754789,3.96687402297
178,Unitarian_test1,10,26.1327319145,"want, am, i, authent, s, say, love, get, know, unitarian, nt, congreg, amen, tell, sing",0.027647924093,0.0177223829956,0.9,0.1,0.615200550724,0.70279051947,0.723422386376,Unitarian,7,3.9,3.37789064485
